region_name,region_rename
Antofagasta,Antofagasta
Araucanía,La Araucanía
Arica y Parinacota,Arica y Parinacota
Atacama,Atacama
Aysén,Aysén del General Carlos Ibáñez del Campo
Aysén del Gral. C. Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo
BI,Biobío
Bío Bío,Biobío
Biobio,Biobío
Biobío,Biobío
Coquimbo,Coquimbo
La Araucania,La Araucanía
La Araucanía,La Araucanía
Lib. Gral. Bernardo O'Higgins,O'Higgins
Libertador General Bernardo O'Higgins,O'Higgins
Los Lagos,Los Lagos
Los Rios,Los Ríos
Los Ríos,Los Ríos
Magallanes y Antártica Chilena,Magallanes y de la Antártica Chilena
Magallanes y de la Antartica Chilena,Magallanes y de la Antártica Chilena
Magallanes y la Antártica Chilena,Magallanes y de la Antártica Chilena
Maule,Maule
Metropolitana de Santiago,Metropolitana de Santiago
Ñuble,Ñuble
O'Higgins,O'Higgins
Región del Bío Bío,Biobío
Región Metropolitana,Metropolitana de Santiago
RM,Metropolitana de Santiago
santiago de Chile,Metropolitana de Santiago
Tarapacá,Tarapacá
Valparaiso,Valparaiso
Valparaíso,Valparaiso
VI Ohiggins,O'Higgins
VII del Maule,Maule