descripcion_larga1,descripcion_corta1,valor1
COOPEUCH,COOPEUCH,672.00
RABOBANK,RABOBANK,54.00
BANCO SANTANDER,BANCO SANTANDER,37.00
BANCO DE CHILE - EDWARDS,BANCO DE CHILE - EDWARDS,1.00
BANCO BICE,BANCO BICE,28.00
BANCO INTERNACIONAL,BANCO INTERNACIONAL,9.00
BANCO SECURITY,BANCO SECURITY,49.00
BANCO FALABELLA,BANCO FALABELLA,51.00
BANCO RIPLEY,BANCO RIPLEY,53.00
BANCO CONSORCIO,BANCO CONSORCIO,55.00
SCOTIABANK AZUL (EX BBVA),SCOTIABANK AZUL (EX BBVA),504.00
BANCO DE CREDITO E INVERSIONES,BANCO DE CREDITO E INVERSIONES,16.00
BANCO ESTADO,BANCO ESTADO,12.00
CORPBANCA,CORPBANCA,27.00
BANCO ITAU CHILE,BANCO ITAU CHILE,39.00
HSBC BANK,HSBC BANK,31.00
SCOTIABANK (EX DESARROLLO),SCOTIABANK (EX DESARROLLO),14.00
THE BANK OF TOKIO MITSUBISHI LTDA,THE BANK OF TOKIO MITSUBISHI LTDA,45.00
SIN BANCO,SIN BANCO,0.00